x,y,z,terrain_type
-5.0,-5.0,0.0,Desert
-4.898989898989899,-5.0,0.0,Desert
-4.797979797979798,-5.0,0.0,Desert
-4.696969696969697,-5.0,0.0,Desert
-4.595959595959596,-5.0,0.0,Desert
-4.494949494949495,-5.0,0.0,Desert
-4.393939393939394,-5.0,0.0,Desert
-4.292929292929293,-5.0,0.0,Desert
-4.191919191919192,-5.0,0.0,Desert
-4.090909090909091,-5.0,0.0,Desert
-3.9898989898989896,-5.0,0.0,Desert
-3.888888888888889,-5.0,0.0,Desert
-3.787878787878788,-5.0,0.0,Desert
-3.686868686868687,-5.0,0.0,Desert
-3.5858585858585856,-5.0,0.0,Desert
-3.484848484848485,-5.0,0.0,Desert
-3.383838383838384,-5.0,0.0,Desert
-3.282828282828283,-5.0,0.0,Desert
-3.1818181818181817,-5.0,0.0,Desert
-3.080808080808081,-5.0,0.0,Desert
-2.9797979797979797,-5.0,0.0,Desert
-2.878787878787879,-5.0,0.0,Desert
-2.7777777777777777,-5.0,0.0,Desert
-2.676767676767677,-5.0,0.0,Desert
-2.5757575757575757,-5.0,0.0,Desert
-2.474747474747475,-5.0,0.0,Desert
-2.3737373737373737,-5.0,0.0,Desert
-2.272727272727273,-5.0,0.0,Desert
-2.1717171717171717,-5.0,0.0,Desert
-2.070707070707071,-5.0,0.0,Desert
-1.9696969696969697,-5.0,0.0,Desert
-1.868686868686869,-5.0,0.0,Desert
-1.7676767676767677,-5.0,0.0,Desert
-1.6666666666666665,-5.0,0.0,Desert
-1.5656565656565657,-5.0,0.0,Desert
-1.4646464646464645,-5.0,0.0,Desert
-1.3636363636363638,-5.0,0.0,Desert
-1.2626262626262625,-5.0,0.0,Desert
-1.1616161616161618,-5.0,0.0,Desert
-1.0606060606060606,-5.0,0.0,Desert
-0.9595959595959593,-5.0,0.0,Desert
-0.858585858585859,-5.0,0.0,Desert
-0.7575757575757578,-5.0,0.0,Desert
-0.6565656565656566,-5.0,0.0,Desert
-0.5555555555555554,-5.0,0.0,Desert
-0.45454545454545503,-5.0,0.0,Desert
-0.3535353535353538,-5.0,0.0,Desert
-0.2525252525252526,-5.0,0.0,Desert
-0.15151515151515138,-5.0,0.0,Desert
-0.050505050505050164,-5.0,0.0,Desert
0.050505050505050164,-5.0,0.0,Desert
0.15151515151515138,-5.0,0.0,Desert
0.2525252525252526,-5.0,0.0,Desert
0.3535353535353538,-5.0,0.0,Desert
0.45454545454545414,-5.0,0.0,Desert
0.5555555555555554,-5.0,0.0,Desert
0.6565656565656566,-5.0,0.0,Desert
0.7575757575757578,-5.0,0.0,Desert
0.8585858585858581,-5.0,0.0,Desert
0.9595959595959593,-5.0,0.0,Desert
1.0606060606060606,-5.0,0.0,Desert
1.1616161616161618,-5.0,0.0,Desert
1.262626262626262,-5.0,0.0,Desert
1.3636363636363633,-5.0,0.0,Desert
1.4646464646464645,-5.0,0.0,Desert
1.5656565656565657,-5.0,0.0,Desert
1.666666666666667,-5.0,0.0,Desert
1.7676767676767673,-5.0,0.0,Desert
1.8686868686868685,-5.0,0.0,Desert
1.9696969696969697,-5.0,0.0,Desert
2.070707070707071,-5.0,0.0,Desert
2.1717171717171713,-5.0,0.0,Desert
2.2727272727272725,-5.0,0.0,Desert
2.3737373737373737,-5.0,0.0,Desert
2.474747474747475,-5.0,0.0,Desert
2.5757575757575752,-5.0,0.0,Desert
2.6767676767676765,-5.0,0.0,Desert
2.7777777777777777,-5.0,0.0,Desert
2.878787878787879,-5.0,0.0,Desert
2.9797979797979792,-5.0,0.0,Desert
3.0808080808080813,-5.0,0.0,Desert
3.1818181818181817,-5.0,0.0,Desert
3.282828282828282,-5.0,0.0,Desert
3.383838383838384,-5.0,0.0,Desert
3.4848484848484844,-5.0,0.0,Desert
3.5858585858585865,-5.0,0.0,Desert
3.686868686868687,-5.0,0.0,Desert
3.787878787878787,-5.0,0.0,Desert
3.8888888888888893,-5.0,0.0,Desert
3.9898989898989896,-5.0,0.0,Desert
4.09090909090909,-5.0,0.0,Desert
4.191919191919192,-5.0,0.0,Desert
4.292929292929292,-5.0,0.0,Desert
4.3939393939393945,-5.0,0.0,Desert
4.494949494949495,-5.0,0.0,Desert
4.595959595959595,-5.0,0.0,Desert
4.696969696969697,-5.0,0.0,Desert
4.797979797979798,-5.0,0.0,Desert
4.8989898989899,-5.0,0.0,Desert
5.0,-5.0,0.0,Desert
-5.0,-4.898989898989899,0.0,Desert
-4.898989898989899,-4.898989898989899,0.0,Desert
-4.797979797979798,-4.898989898989899,0.0,Desert
-4.696969696969697,-4.898989898989899,0.0,Desert
-4.595959595959596,-4.898989898989899,0.0,Desert
-4.494949494949495,-4.898989898989899,0.0,Desert
-4.393939393939394,-4.898989898989899,0.0,Desert
-4.292929292929293,-4.898989898989899,0.0,Desert
-4.191919191919192,-4.898989898989899,0.0,Desert
-4.090909090909091,-4.898989898989899,0.0,Desert
-3.9898989898989896,-4.898989898989899,0.0,Desert
-3.888888888888889,-4.898989898989899,0.0,Desert
-3.787878787878788,-4.898989898989899,0.0,Desert
-3.686868686868687,-4.898989898989899,0.0,Desert
-3.5858585858585856,-4.898989898989899,0.0,Desert
-3.484848484848485,-4.898989898989899,0.0,Desert
-3.383838383838384,-4.898989898989899,0.0,Desert
-3.282828282828283,-4.898989898989899,0.0,Desert
-3.1818181818181817,-4.898989898989899,0.0,Desert
-3.080808080808081,-4.898989898989899,0.0,Desert
-2.9797979797979797,-4.898989898989899,0.0,Desert
-2.878787878787879,-4.898989898989899,0.0,Desert
-2.7777777777777777,-4.898989898989899,0.0,Desert
-2.676767676767677,-4.898989898989899,0.0,Desert
-2.5757575757575757,-4.898989898989899,0.0,Desert
-2.474747474747475,-4.898989898989899,0.0,Desert
-2.3737373737373737,-4.898989898989899,0.0,Desert
-2.272727272727273,-4.898989898989899,0.0,Desert
-2.1717171717171717,-4.898989898989899,0.0,Desert
-2.070707070707071,-4.898989898989899,0.0,Desert
-1.9696969696969697,-4.898989898989899,0.0,Desert
-1.868686868686869,-4.898989898989899,0.0,Desert
-1.7676767676767677,-4.898989898989899,0.0,Desert
-1.6666666666666665,-4.898989898989899,0.0,Desert
-1.5656565656565657,-4.898989898989899,0.0,Desert
-1.4646464646464645,-4.898989898989899,0.0,Desert
-1.3636363636363638,-4.898989898989899,0.0,Desert
-1.2626262626262625,-4.898989898989899,0.0,Desert
-1.1616161616161618,-4.898989898989899,0.0,Desert
-1.0606060606060606,-4.898989898989899,0.0,Desert
-0.9595959595959593,-4.898989898989899,0.0,Desert
-0.858585858585859,-4.898989898989899,0.0,Desert
-0.7575757575757578,-4.898989898989899,0.0,Desert
-0.6565656565656566,-4.898989898989899,0.0,Desert
-0.5555555555555554,-4.898989898989899,0.0,Desert
-0.45454545454545503,-4.898989898989899,0.0,Desert
-0.3535353535353538,-4.898989898989899,0.0,Desert
-0.2525252525252526,-4.898989898989899,0.0,Desert
-0.15151515151515138,-4.898989898989899,0.0,Desert
-0.050505050505050164,-4.898989898989899,0.0,Desert
0.050505050505050164,-4.898989898989899,0.0,Desert
0.15151515151515138,-4.898989898989899,0.0,Desert
0.2525252525252526,-4.898989898989899,0.0,Desert
0.3535353535353538,-4.898989898989899,0.0,Desert
0.45454545454545414,-4.898989898989899,0.0,Desert
0.5555555555555554,-4.898989898989899,0.0,Desert
0.6565656565656566,-4.898989898989899,0.0,Desert
0.7575757575757578,-4.898989898989899,0.0,Desert
0.8585858585858581,-4.898989898989899,0.0,Desert
0.9595959595959593,-4.898989898989899,0.0,Desert
1.0606060606060606,-4.898989898989899,0.0,Desert
1.1616161616161618,-4.898989898989899,0.0,Desert
1.262626262626262,-4.898989898989899,0.0,Desert
1.3636363636363633,-4.898989898989899,0.0,Desert
1.4646464646464645,-4.898989898989899,0.0,Desert
1.5656565656565657,-4.898989898989899,0.0,Desert
1.666666666666667,-4.898989898989899,0.0,Desert
1.7676767676767673,-4.898989898989899,0.0,Desert
1.8686868686868685,-4.898989898989899,0.0,Desert
1.9696969696969697,-4.898989898989899,0.0,Desert
2.070707070707071,-4.898989898989899,0.0,Desert
2.1717171717171713,-4.898989898989899,0.0,Desert
2.2727272727272725,-4.898989898989899,0.0,Desert
2.3737373737373737,-4.898989898989899,0.0,Desert
2.474747474747475,-4.898989898989899,0.0,Desert
2.5757575757575752,-4.898989898989899,0.0,Desert
2.6767676767676765,-4.898989898989899,0.0,Desert
2.7777777777777777,-4.898989898989899,0.0,Desert
2.878787878787879,-4.898989898989899,0.0,Desert
2.9797979797979792,-4.898989898989899,0.0,Desert
3.0808080808080813,-4.898989898989899,0.0,Desert
3.1818181818181817,-4.898989898989899,0.0,Desert
3.282828282828282,-4.898989898989899,0.0,Desert
3.383838383838384,-4.898989898989899,0.0,Desert
3.4848484848484844,-4.898989898989899,0.0,Desert
3.5858585858585865,-4.898989898989899,0.0,Desert
