Time (s),X Position,Y Position
0.0,0.0,50.0
0.5,5.2631578947368425,54.881892088664756
1.0,10.526315789473685,41.47877631631621
1.5,15.789473684210527,59.99169621451985
2.0,21.05263157894737,41.08096140893383
2.5,26.315789473684212,55.576268315943544
3.0,31.578947368421055,49.18579812253506
3.5,36.8421052631579,45.84490122151169
4.0,42.10526315789474,58.066825548010726
4.5,47.36842105263158,40.07465134880019
5.0,52.631578947368425,59.25762867165541
5.5,57.89473684210527,43.76638338549351
6.0,63.15789473684211,51.622997234409176
6.5,68.42105263157896,53.400714489424175
7.0,73.6842105263158,42.44113848952199
7.5,78.94736842105263,59.793094090311946
8.0,84.21052631578948,40.46525440419435
8.5,89.47368421052633,56.84957201398965
9.0,94.73684210526316,47.5789845489305
9.5,100.0,47.37625146296071
